SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,LineTotal
43660,13,1,762,419.458900
43660,14,1,758,874.794000
43661,15,1,745,809.760000
43661,16,1,743,714.704300
43661,19,4,715,115.361600
43661,29,5,708,100.932500
43662,32,2,730,367.876400
43662,34,3,725,551.814600
43662,37,2,768,838.917800
43662,39,1,756,874.794000
43662,41,1,732,356.898000
43662,43,1,729,183.938200
43662,44,3,722,535.742400
43662,47,1,726,183.938200
43662,48,1,733,356.898000
43662,49,1,738,178.580800
43662,51,1,755,874.794000
43663,52,1,760,419.458900
43666,71,1,764,419.458900
43666,73,1,732,356.898000
43666,74,1,756,874.794000
43666,75,2,768,838.917800
43666,76,1,766,419.458900
43668,85,6,715,173.042400
43668,91,2,729,367.876400
43668,94,2,770,838.917800
43668,95,3,726,551.814600
43668,96,2,764,838.917800
43668,97,2,766,838.917800
43668,98,2,725,367.876400
43668,100,2,768,838.917800
43668,104,3,738,535.742400
43668,105,4,714,115.361600
43668,106,3,722,535.742400
43669,110,1,747,714.704300
43671,117,1,756,874.794000
43671,118,2,768,838.917800
43671,119,2,732,713.796000
43671,120,2,763,838.917800
43671,122,2,764,838.917800
43673,129,1,754,874.794000
43673,131,1,729,183.938200
43673,132,2,761,838.917800
43673,133,1,762,419.458900
43673,134,2,738,357.161600
43673,135,2,770,838.917800
43675,142,5,711,100.932500
43675,143,2,738,357.161600
43675,145,2,762,838.917800
43675,148,1,754,874.794000
43677,157,1,758,874.794000
43677,158,1,770,419.458900
43677,161,2,765,838.917800
43677,162,1,763,419.458900
43677,165,1,754,874.794000
43677,166,2,729,367.876400
43678,167,1,760,419.458900
43678,168,2,738,357.161600
43678,169,1,765,419.458900
43678,170,2,732,713.796000
43678,172,2,761,838.917800
43678,175,2,729,367.876400
43678,176,1,756,874.794000
43678,177,2,725,367.876400
43678,179,1,770,419.458900
43678,182,1,754,874.794000
43678,183,1,755,874.794000
43679,186,1,760,419.458900
43679,187,2,770,838.917800
43680,191,2,738,357.161600
43680,193,1,729,183.938200
43680,196,2,725,367.876400
43680,197,1,758,874.794000
43680,198,1,761,419.458900
43680,203,1,763,419.458900
43681,204,6,715,173.042400
43681,206,1,732,356.898000
43681,208,1,729,183.938200
43681,211,2,730,367.876400
43681,213,1,768,419.458900
43681,214,2,761,838.917800
43681,215,2,738,357.161600
43681,218,2,764,838.917800
43681,219,2,760,838.917800
43681,220,1,756,874.794000
43681,223,1,725,183.938200
43682,226,1,762,419.458900
43682,227,2,760,838.917800
43682,228,2,770,838.917800
43684,244,2,762,838.917800
43684,245,1,760,419.458900
43684,247,1,770,419.458900
43684,248,1,763,419.458900
43685,250,1,763,419.458900
43685,251,1,754,874.794000
43685,252,1,725,183.938200
43686,254,1,762,419.458900
43686,255,1,770,419.458900
43687,256,1,768,419.458900
43687,257,2,765,838.917800
43688,258,1,725,183.938200
43688,259,2,760,838.917800
43688,261,1,738,178.580800
43688,262,1,763,419.458900
43688,263,2,729,367.876400
43688,267,1,770,419.458900
43689,270,2,738,357.161600
43689,271,2,725,367.876400
43689,275,2,770,838.917800
43689,277,3,726,551.814600
43689,278,1,722,178.580800
43689,280,2,729,367.876400
43689,281,2,730,367.876400
43689,282,2,732,713.796000
43689,284,2,768,838.917800
43689,285,2,761,838.917800
43690,291,1,770,419.458900
43690,293,2,760,838.917800
43691,294,1,758,874.794000
43692,296,1,725,183.938200
43692,298,2,730,367.876400
43692,299,10,715,288.404000
43692,300,1,768,419.458900
43692,302,2,738,357.161600
43692,308,4,714,115.361600
43692,311,4,716,115.361600
43692,312,2,765,838.917800
43692,313,1,764,419.458900
43692,315,1,766,419.458900
43692,316,1,722,178.580800
43692,319,1,763,419.458900
43692,320,2,729,367.876400
43692,322,2,726,367.876400
43694,343,5,711,100.932500
43695,346,1,747,714.704300
43695,347,1,742,722.594900
43696,352,1,762,419.458900
43700,356,1,767,699.098200
43708,364,1,764,699.098200
43717,373,1,767,699.098200
43723,379,1,765,699.098200
43726,382,1,765,699.098200
43756,412,1,765,699.098200
43771,427,1,764,699.098200
43779,435,1,762,699.098200
43796,452,1,770,699.098200
43805,461,1,763,699.098200
43823,479,1,770,699.098200
43824,480,1,768,699.098200
43827,483,1,768,699.098200
43836,492,1,761,699.098200
43840,496,1,762,699.098200
43843,504,1,741,818.700000
43843,505,1,745,809.760000
43845,513,1,725,183.938200
43845,515,1,770,419.458900
43845,516,2,763,838.917800
43845,517,2,761,838.917800
43845,518,1,754,874.794000
43845,519,2,765,838.917800
43845,521,1,729,183.938200
43846,523,3,729,551.814600
43846,525,1,738,178.580800
43846,526,1,725,183.938200
43847,529,1,758,874.794000
43849,541,4,715,115.361600
43850,546,1,765,419.458900
43850,547,1,755,874.794000
43850,548,1,761,419.458900
43850,549,2,762,838.917800
43850,551,3,725,551.814600
43850,552,1,729,183.938200
43850,554,1,756,874.794000
43850,556,1,738,178.580800
43851,557,2,761,838.917800
43851,558,1,760,419.458900
43851,562,1,725,183.938200
43851,563,1,754,874.794000
43851,564,3,738,535.742400
43851,566,1,765,419.458900
43855,577,2,765,838.917800
43855,578,2,760,838.917800
43855,581,1,738,178.580800
43855,583,2,732,713.796000
43855,584,1,766,419.458900
43855,585,1,726,183.938200
43855,586,2,770,838.917800
43855,587,1,725,183.938200
43855,588,1,755,874.794000
43855,589,2,768,838.917800
43857,592,1,760,419.458900
43857,593,1,765,419.458900
43857,594,2,762,838.917800
43857,599,1,725,183.938200
43857,602,2,738,357.161600
43857,603,1,763,419.458900
43858,606,2,762,838.917800
43858,607,2,761,838.917800
43858,609,1,765,419.458900
43858,610,2,738,357.161600
43858,613,1,722,178.580800
43858,615,1,726,183.938200
43858,616,1,766,419.458900
43858,617,1,729,183.938200
43858,618,1,756,874.794000
43859,620,1,762,419.458900
