SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,LineTotal
43659,2,3,777,6074.982000
43659,6,2,773,4079.988000
43661,21,3,775,6074.982000
43661,22,2,778,4049.988000
43661,25,4,776,8099.976000
43661,26,2,773,4079.988000
43661,28,2,777,4049.988000
43662,33,4,754,3499.176000
43662,42,6,758,5248.764000
43664,54,4,775,8099.976000
43664,57,2,777,4049.988000
43664,58,3,771,6119.982000
43665,65,2,777,4049.988000
43665,67,2,775,4049.988000
43668,82,2,753,4293.924000
43668,102,6,758,5248.764000
43670,113,2,773,4079.988000
43672,127,2,776,4049.988000
43676,150,2,776,4049.988000
43676,151,2,778,4049.988000
43676,153,3,775,6074.982000
43680,199,2,753,4293.924000
43683,230,2,776,4049.988000
43683,232,2,773,4079.988000
43683,237,4,775,8099.976000
43683,238,6,777,12149.964000
43683,241,5,778,10124.970000
43688,268,2,753,4293.924000
43689,287,2,749,4293.924000
43689,288,9,762,3775.130100
43689,289,4,754,3499.176000
43692,297,8,754,6998.352000
43692,301,4,756,3499.176000
43692,303,8,758,6998.352000
43692,314,2,753,4293.924000
43693,327,3,771,6119.982000
43693,330,3,777,6074.982000
43694,333,3,776,6074.982000
43694,334,3,771,6119.982000
43694,341,2,773,4079.988000
43695,344,2,774,4079.988000
43695,348,5,777,10124.970000
43695,349,6,778,12149.964000
43695,351,5,775,10124.970000
43697,353,1,749,3578.270000
43698,354,1,773,3399.990000
43699,355,1,773,3399.990000
43701,357,1,773,3399.990000
43702,358,1,750,3578.270000
43703,359,1,749,3578.270000
43704,360,1,778,3374.990000
43705,361,1,771,3399.990000
43706,362,1,751,3578.270000
43707,363,1,751,3578.270000
43709,365,1,752,3578.270000
43710,366,1,753,3578.270000
43711,367,1,753,3578.270000
43712,368,1,750,3578.270000
43713,369,1,749,3578.270000
43714,370,1,750,3578.270000
43715,371,1,753,3578.270000
43716,372,1,750,3578.270000
43718,374,1,750,3578.270000
43719,375,1,751,3578.270000
43720,376,1,750,3578.270000
43721,377,1,749,3578.270000
