CountryRegionCode,StateProvinceCode,Package name,Execution start time,User name,Task name
CA,AB ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,AK ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,AL ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,AR ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
AS,AS ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,AZ ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,BC ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
DE,BY ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,CA ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,CO ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,CT ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,DC ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,DE ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
GB,ENG,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,FL ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
FM,FM ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,GA ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,GU ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
DE,HE ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
DE,HH ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,HI ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,IA ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,ID ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,IL ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,IN ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,KS ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,KY ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,LA ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,LB ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,MA ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,MB ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,MD ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,ME ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
MH,MH ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,MI ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,MN ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,MO ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
MP,MP ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,MS ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,MT ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,NB ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,NC ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,ND ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,NE ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,NF ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,NH ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,NJ ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,NM ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,NS ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
AU,NSW,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,NT ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,NV ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
DE,NW ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,NY ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,OH ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,OK ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,ON ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,OR ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,PA ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,PE ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,PR ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
PW,PW ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,QC ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
AU,QLD,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,RI ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
AU,SA ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,SC ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,SD ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,SK ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
DE,SL ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
AU,TAS,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,TN ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,TX ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,UT ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,VA ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
VI,VI ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
AU,VIC,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,VT ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,WA ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,WI ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,WV ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
US,WY ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
CA,YT ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
FR,FR ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
DE,BB ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
DE,SN ,12_Audit_TransformationDemo,9/29/2025 7:55:16 PM,WIN-4CMOE2HNK1B\Taco,Data Flow Task
